,Team,Opponent,Date,Competition,Result,Appearance,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Fouls Suffered,Yellow Cards,Red Cards
68,Chile,A - Spain,2014-06-18,WC,W 0-2,Started,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0
67,Chile,A - Netherlands,2014-06-23,WC,L 2-0,Started,0.0,0.0,2.0,1.0,2.0,9.0,0.0,0.0
66,Chile,A - Brazil,2014-06-28,WC,L (3) 1-(2) 1,Started,1.0,0.0,2.0,1.0,2.0,7.0,0.0,0.0
65,Arsenal,H - Benfica,2014-08-02,Int,W 5-1,Sub-On 74 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Arsenal,H - Monaco,2014-08-03,Int,L 0-1,Sub-Off 73 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Arsenal,H - Man City,2014-08-10,Comm,W 3-0,Sub-Off 45 min,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
62,Arsenal,H - C Palace,2014-08-16,Prem,W 2-1,Started,0.0,1.0,3.0,1.0,5.0,3.0,0.0,0.0
61,Arsenal,A - Besiktas,2014-08-19,UCL,D 0-0,Sub-Off 71 min,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
60,Arsenal,A - Everton,2014-08-23,Prem,D 2-2,Sub-Off 45 min,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
59,Arsenal,H - Besiktas,2014-08-27,UCL,W 1-0,Started,1.0,0.0,5.0,4.0,4.0,4.0,0.0,0.0
58,Arsenal,A - Leicester,2014-08-31,Prem,D 1-1,Started,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0
57,Chile,H - Mexico,2014-09-06,Int,D 0-0,Sub-Off 84 min,0.0,0.0,3.0,1.0,1.0,4.0,0.0,0.0
56,Chile,H - Haiti,2014-09-09,Int,W 1-0,Sub-Off 85 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Chile,H - Haiti,2014-09-09,Int,W 1-0,Started,0.0,0.0,5.0,2.0,3.0,2.0,0.0,0.0
54,Arsenal,H - Man City,2014-09-13,Prem,D 2-2,Started,1.0,0.0,3.0,2.0,1.0,4.0,1.0,0.0
53,Arsenal,A - Dortmund,2014-09-16,UCL,L 2-0,Started,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0
52,Arsenal,A - Aston Villa,2014-09-20,Prem,W 0-3,Unused Substitute,,,,,,,,
51,Arsenal,H - Southampton,2014-09-23,CC,L 1-2,Started,1.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0
50,Arsenal,H - Tottenham,2014-09-27,Prem,D 1-1,Sub-On 62 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Arsenal,H - Galatasaray,2014-10-01,UCL,W 4-1,Sub-Off 61 min,1.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0
48,Arsenal,A - Chelsea,2014-10-05,Prem,L 2-0,Sub-Off 78 min,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
47,Chile,H - Peru,2014-10-10,Int,W 3-0,Started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Chile,H - Peru,2014-10-10,Int,W 3-0,Started,0.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0
45,Chile,H - Bolivia,2014-10-14,Int,D 2-2,Started,0.0,0.0,5.0,2.0,2.0,2.0,0.0,0.0
44,Arsenal,H - Hull,2014-10-18,Prem,D 2-2,Started,1.0,1.0,5.0,3.0,1.0,2.0,0.0,0.0
43,Arsenal,A - Anderlecht,2014-10-22,UCL,W 1-2,Started,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0
42,Arsenal,A - Sunderland,2014-10-25,Prem,W 0-2,Started,2.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0
41,Arsenal,H - Burnley,2014-11-01,Prem,W 3-0,Started,2.0,0.0,7.0,5.0,1.0,0.0,0.0,0.0
40,Arsenal,H - Anderlecht,2014-11-04,UCL,D 3-3,Started,1.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0
39,Arsenal,A - Swansea,2014-11-09,Prem,L 2-1,Started,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
38,Chile,H - Venezuela,2014-11-14,Int,W 5-0,Sub-Off 84 min,1.0,0.0,5.0,3.0,1.0,4.0,0.0,0.0
37,Chile,H - Uruguay,2014-11-18,Int,L 1-2,Started,1.0,0.0,4.0,3.0,2.0,7.0,0.0,0.0
36,Arsenal,H - Man Utd,2014-11-22,Prem,L 1-2,Started,0.0,0.0,4.0,2.0,3.0,2.0,0.0,0.0
35,Arsenal,H - Dortmund,2014-11-26,UCL,W 2-0,Started,1.0,0.0,3.0,2.0,2.0,3.0,0.0,0.0
34,Arsenal,A - West Brom,2014-11-29,Prem,W 0-1,Started,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0
33,Arsenal,H - Southampton,2014-12-03,Prem,W 1-0,Started,1.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0
32,Arsenal,A - Stoke,2014-12-06,Prem,L 3-2,Started,0.0,1.0,2.0,0.0,2.0,4.0,0.0,0.0
31,Arsenal,H - Newcastle,2014-12-13,Prem,W 4-1,Started,0.0,2.0,2.0,0.0,2.0,6.0,0.0,0.0
30,Arsenal,A - Liverpool,2014-12-21,Prem,D 2-2,Sub-Off 90 min,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
29,Arsenal,H - QPR,2014-12-26,Prem,W 2-1,Started,1.0,1.0,5.0,2.0,0.0,4.0,0.0,0.0
28,Arsenal,A - West Ham,2014-12-28,Prem,W 1-2,Started,0.0,0.0,7.0,1.0,4.0,5.0,1.0,0.0
27,Arsenal,A - Southampton,2015-01-01,Prem,L 2-0,Started,0.0,0.0,5.0,3.0,0.0,4.0,0.0,0.0
26,Arsenal,H - Hull,2015-01-04,FAC,W 2-0,Sub-Off 83 min,1.0,1.0,6.0,3.0,2.0,1.0,1.0,0.0
25,Arsenal,H - Stoke,2015-01-11,Prem,W 3-0,Started,2.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0
24,Arsenal,A - Man City,2015-01-18,Prem,W 0-2,Sub-Off 83 min,0.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0
23,Arsenal,A - Brighton,2015-01-25,FAC,W 2-3,Sub-On 69 min,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0
22,Arsenal,H - Leicester,2015-02-10,Prem,W 2-1,Sub-Off 67 min,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0
21,Arsenal,H - Boro,2015-02-15,FAC,W 2-0,Sub-Off 71 min,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0
20,Arsenal,A - C Palace,2015-02-21,Prem,W 1-2,Started,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0
19,Arsenal,H - Monaco,2015-02-25,UCL,L 1-3,Started,0.0,0.0,7.0,3.0,0.0,2.0,0.0,0.0
18,Arsenal,H - Everton,2015-03-01,Prem,W 2-0,Started,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0
17,Arsenal,A - QPR,2015-03-04,Prem,W 1-2,Started,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0
16,Arsenal,A - Man Utd,2015-03-09,FAC,W 1-2,Started,0.0,0.0,5.0,3.0,0.0,3.0,0.0,0.0
15,Arsenal,H - West Ham,2015-03-14,Prem,W 3-0,Started,0.0,0.0,4.0,2.0,1.0,2.0,1.0,0.0
14,Arsenal,A - Monaco,2015-03-17,UCL,D 0-2,Started,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0
13,Arsenal,A - Newcastle,2015-03-21,Prem,W 1-2,Sub-Off 70 min,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
12,Chile,A - Iran,2015-03-26,Int,L 2-0,Sub-On 45 min,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0
11,Chile,A - Brazil,2015-03-29,Int,L 1-0,Started,0.0,0.0,4.0,1.0,1.0,9.0,0.0,0.0
10,Arsenal,H - Liverpool,2015-04-04,Prem,W 4-1,Started,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0
9,Arsenal,A - Burnley,2015-04-11,Prem,W 0-1,Started,0.0,0.0,6.0,3.0,3.0,4.0,0.0,0.0
8,Arsenal,A - Reading,2015-04-18,FAC,W 1-2,Started,2.0,0.0,4.0,3.0,3.0,4.0,0.0,0.0
7,Arsenal,H - Chelsea,2015-04-26,Prem,D 0-0,Started,0.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0
6,Arsenal,A - Hull,2015-05-04,Prem,W 1-3,Started,2.0,0.0,8.0,4.0,1.0,2.0,0.0,0.0
5,Arsenal,H - Swansea,2015-05-11,Prem,L 0-1,Started,0.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0
4,Arsenal,A - Man Utd,2015-05-17,Prem,D 1-1,Sub-Off 89 min,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
3,Arsenal,H - Sunderland,2015-05-20,Prem,D 0-0,Started,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
2,Arsenal,H - West Brom,2015-05-24,Prem,W 4-1,Started,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
1,Arsenal,H - Aston Villa,2015-05-30,FAC,W 4-0,Sub-Off 89 min,1.0,1.0,2.0,1.0,2.0,5.0,0.0,0.0
0,Chile,H - El Salvador,2015-06-05,Int,W 1-0,Started,0.0,0.0,6.0,4.0,2.0,1.0,0.0,0.0
65,Chile,H - Ecuador,2015-06-11,Copa Am,W 2-0,Started,0.0,1.0,4.0,1.0,4.0,4.0,0.0,0.0
64,Chile,H - Mexico,2015-06-15,Copa Am,D 3-3,Started,0.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0
63,Chile,H - Bolivia,2015-06-19,Copa Am,W 5-0,Started,1.0,0.0,5.0,1.0,1.0,2.0,0.0,0.0
62,Chile,H - Uruguay,2015-06-24,Copa Am,W 1-0,Started,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0
61,Chile,H - Peru,2015-06-29,Copa Am,W 2-1,Started,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
60,Chile,H - Argentina,2015-07-04,Copa Am,W (4) 0-(1) 0,Started,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0
59,Arsenal,H - West Ham,2015-08-09,Prem,L 0-2,Sub-On 66 min,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0
58,Arsenal,A - C Palace,2015-08-16,Prem,W 1-2,Sub-Off 74 min,0.0,0.0,7.0,2.0,1.0,1.0,0.0,0.0
57,Arsenal,H - Liverpool,2015-08-24,Prem,D 0-0,Started,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
56,Arsenal,A - Newcastle,2015-08-29,Prem,W 0-1,Started,0.0,0.0,7.0,2.0,2.0,5.0,0.0,0.0
55,Chile,H - Paraguay,2015-09-05,Int,W 3-2,Started,1.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0
54,Arsenal,H - Stoke,2015-09-12,Prem,W 2-0,Started,0.0,0.0,8.0,2.0,0.0,4.0,0.0,0.0
53,Arsenal,A - D Zagreb,2015-09-16,UCL,L 2-1,Started,0.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0
52,Arsenal,A - Chelsea,2015-09-19,Prem,L 2-0,Sub-Off 74 min,0.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0
51,Arsenal,A - Tottenham,2015-09-23,CC,W 1-2,Substitute,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
50,Arsenal,A - Leicester,2015-09-26,Prem,W 2-5,Started,3.0,0.0,7.0,3.0,3.0,1.0,0.0,0.0
49,Arsenal,H - Olympiakos,2015-09-29,UCL,L 2-3,Started,1.0,1.0,4.0,2.0,1.0,3.0,1.0,0.0
48,Arsenal,H - Man Utd,2015-10-04,Prem,W 3-0,Sub-Off 80 min,2.0,0.0,3.0,2.0,1.0,4.0,0.0,0.0
47,Chile,H - Brazil,2015-10-08,WCQ,W 2-0,Started,1.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0
46,Chile,A - Peru,2015-10-13,WCQ,W 3-4,Started,2.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0
45,Arsenal,A - Watford,2015-10-17,Prem,W 0-3,Sub-Off 79 min,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
44,Arsenal,H - Bayern,2015-10-20,UCL,W 2-0,Sub-Off 81 min,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
43,Arsenal,H - Everton,2015-10-24,Prem,W 2-1,Sub-Off 88 min,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0
42,Arsenal,A - Swansea,2015-10-31,Prem,W 0-3,Started,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0
41,Arsenal,A - Bayern,2015-11-04,UCL,L 5-1,Started,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
40,Arsenal,H - Tottenham,2015-11-08,Prem,D 1-1,Started,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0
39,Chile,H - Colombia,2015-11-12,WCQ,D 1-1,Started,0.0,0.0,5.0,2.0,1.0,2.0,0.0,0.0
38,Chile,A - Uruguay,2015-11-17,WCQ,L 3-0,Started,0.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0
37,Arsenal,A - West Brom,2015-11-21,Prem,L 2-1,Started,0.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0
36,Arsenal,H - D Zagreb,2015-11-24,UCL,W 3-0,Started,2.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0
35,Arsenal,A - Norwich,2015-11-29,Prem,D 1-1,Started,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0
34,Arsenal,H - Chelsea,2016-01-24,Prem,L 0-1,Sub-On 56 min,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
33,Arsenal,H - Burnley,2016-01-30,FAC,W 2-1,Started,1.0,1.0,5.0,2.0,1.0,2.0,0.0,0.0
32,Arsenal,H - Southampton,2016-02-02,Prem,D 0-0,Started,0.0,0.0,5.0,3.0,1.0,6.0,0.0,0.0
31,Arsenal,A - Bournemouth,2016-02-07,Prem,W 0-2,Started,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
30,Arsenal,H - Leicester,2016-02-14,Prem,W 2-1,Started,0.0,0.0,6.0,0.0,1.0,4.0,0.0,0.0
29,Arsenal,H - Hull,2016-02-20,FAC,D 0-0,Substitute,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0
28,Arsenal,H - Barcelona,2016-02-23,UCL,L 0-2,Started,0.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0
27,Arsenal,A - Man Utd,2016-02-28,Prem,L 3-2,Started,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0
26,Arsenal,H - Swansea,2016-03-02,Prem,L 1-2,Started,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0
25,Arsenal,A - Tottenham,2016-03-05,Prem,D 2-2,Started,1.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0
24,Arsenal,A - Hull,2016-03-08,FAC,W 0-4,Unused Substitute,,,,,,,,
23,Arsenal,H - Watford,2016-03-13,FAC,L 1-2,Started,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0
22,Arsenal,A - Barcelona,2016-03-16,UCL,L 3-1,Started,0.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0
21,Arsenal,A - Everton,2016-03-19,Prem,W 0-2,Started,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
20,Chile,H - Argentina,2016-03-24,WCQ,L 1-2,Started,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
19,Chile,A - Venezuela,2016-03-29,WCQ,W 1-4,Started,0.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0
18,Arsenal,H - Watford,2016-04-02,Prem,W 4-0,Sub-Off 78 min,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0
17,Arsenal,A - West Ham,2016-04-09,Prem,D 3-3,Started,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0
16,Arsenal,H - C Palace,2016-04-17,Prem,D 1-1,Started,1.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0
15,Arsenal,H - West Brom,2016-04-21,Prem,W 2-0,Sub-Off 85 min,2.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0
14,Arsenal,A - Sunderland,2016-04-24,Prem,D 0-0,Started,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
13,Arsenal,H - Norwich,2016-04-30,Prem,W 1-0,Sub-Off 83 min,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0
12,Arsenal,A - Man City,2016-05-08,Prem,D 2-2,Started,1.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0
11,Arsenal,H - Aston Villa,2016-05-15,Prem,W 4-0,Started,0.0,0.0,5.0,1.0,2.0,1.0,0.0,0.0
58,Chile,H - Jamaica,2016-05-27,Int,L 1-2,Started,0.0,0.0,5.0,2.0,1.0,3.0,0.0,0.0
57,Chile,A - Mexico,2016-06-01,Int,L 1-0,Started,0.0,0.0,5.0,1.0,3.0,1.0,1.0,0.0
56,Chile,A - Argentina,2016-06-06,Copa Am,L 2-1,Started,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0
55,Chile,H - Bolivia,2016-06-10,Copa Am,W 2-1,Started,0.0,0.0,4.0,3.0,0.0,5.0,0.0,0.0
54,Chile,H - Panama,2016-06-14,Copa Am,W 4-2,Started,2.0,0.0,5.0,3.0,2.0,3.0,0.0,0.0
53,Chile,A - Mexico,2016-06-18,Copa Am,W 0-7,Started,1.0,2.0,3.0,2.0,1.0,3.0,0.0,0.0
52,Chile,A - Colombia,2016-06-22,Copa Am,W 0-2,Started,0.0,0.0,3.0,1.0,6.0,3.0,1.0,0.0
51,Chile,A - Argentina,2016-06-26,Copa Am,W (2) 0-(4) 0,Started,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
50,Arsenal,H - Liverpool,2016-08-14,Prem,L 3-4,Started,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
49,Arsenal,A - Leicester,2016-08-20,Prem,D 0-0,Started,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0
48,Arsenal,A - Watford,2016-08-27,Prem,W 1-3,Started,1.0,1.0,3.0,3.0,5.0,3.0,0.0,0.0
10,Chile,A - Paraguay,2016-09-01,WCQ,L 2-1,Started,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0
9,Chile,H - Bolivia,2016-09-06,WCQ,W 3-0,Started,0.0,0.0,3.0,1.0,1.0,5.0,0.0,0.0
47,Arsenal,H - Southampton,2016-09-10,Prem,W 2-1,Sub-On 61 min,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
46,Arsenal,A - PSG,2016-09-13,UCL,D 1-1,Started,1.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0
45,Arsenal,A - Hull,2016-09-17,Prem,W 1-4,Started,2.0,0.0,5.0,4.0,3.0,2.0,0.0,0.0
44,Arsenal,H - Chelsea,2016-09-24,Prem,W 3-0,Sub-Off 78 min,1.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0
43,Arsenal,H - FC Basel,2016-09-28,UCL,W 2-0,Started,0.0,2.0,4.0,3.0,1.0,3.0,0.0,0.0
42,Arsenal,A - Burnley,2016-10-02,Prem,W 0-1,Started,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
8,Chile,A - Ecuador,2016-10-06,WCQ,L 3-0,Started,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0
7,Chile,H - Peru,2016-10-11,WCQ,W 2-1,Started,0.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0
41,Arsenal,H - Swansea,2016-10-15,Prem,W 3-2,Sub-Off 81 min,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
40,Arsenal,H - Ludogorets,2016-10-19,UCL,W 6-0,Sub-Off 72 min,1.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0
39,Arsenal,H - Boro,2016-10-22,Prem,D 0-0,Started,0.0,0.0,4.0,3.0,1.0,2.0,0.0,0.0
38,Arsenal,A - Sunderland,2016-10-29,Prem,W 1-4,Started,2.0,0.0,3.0,2.0,4.0,2.0,1.0,0.0
37,Arsenal,A - Ludogorets,2016-11-01,UCL,W 2-3,Sub-Off 89 min,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
36,Arsenal,H - Tottenham,2016-11-06,Prem,D 1-1,Started,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
6,Chile,H - Uruguay,2016-11-15,WCQ,W 3-1,Sub-Off 83 min,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
35,Arsenal,A - Man Utd,2016-11-19,Prem,D 1-1,Started,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0
34,Arsenal,H - PSG,2016-11-23,UCL,D 2-2,Started,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
33,Arsenal,H - Bournemouth,2016-11-27,Prem,W 3-1,Started,2.0,0.0,4.0,2.0,1.0,2.0,1.0,0.0
32,Arsenal,A - West Ham,2016-12-03,Prem,W 1-5,Started,3.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0
31,Arsenal,A - FC Basel,2016-12-06,UCL,W 1-4,Sub-Off 69 min,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0
30,Arsenal,H - Stoke,2016-12-10,Prem,W 3-1,Started,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0
29,Arsenal,A - Everton,2016-12-13,Prem,L 2-1,Started,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
28,Arsenal,A - Man City,2016-12-18,Prem,L 2-1,Started,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
27,Arsenal,H - West Brom,2016-12-26,Prem,W 1-0,Started,0.0,0.0,9.0,4.0,1.0,1.0,0.0,0.0
26,Arsenal,H - C Palace,2017-01-01,Prem,W 2-0,Started,0.0,1.0,8.0,2.0,1.0,3.0,0.0,0.0
25,Arsenal,A - Bournemouth,2017-01-03,Prem,D 3-3,Started,1.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0
24,Arsenal,A - Swansea,2017-01-14,Prem,W 0-4,Sub-Off 78 min,1.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0
23,Arsenal,H - Burnley,2017-01-22,Prem,W 2-1,Started,1.0,0.0,8.0,3.0,0.0,1.0,0.0,0.0
22,Arsenal,A - Southampton,2017-01-28,FAC,W 0-5,Sub-On 64 min,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0
21,Arsenal,H - Watford,2017-01-31,Prem,L 1-2,Started,0.0,1.0,5.0,0.0,0.0,4.0,1.0,0.0
20,Arsenal,A - Chelsea,2017-02-04,Prem,L 3-1,Started,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
19,Arsenal,H - Hull,2017-02-11,Prem,W 2-0,Started,2.0,0.0,6.0,4.0,3.0,3.0,1.0,0.0
18,Arsenal,A - Bayern,2017-02-15,UCL,L 5-1,Started,1.0,0.0,2.0,2.0,3.0,2.0,1.0,0.0
17,Arsenal,A - Sutton Unite,2017-02-20,FAC,W 0-2,Sub-On 73 min,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
16,Arsenal,A - Liverpool,2017-03-04,Prem,L 3-1,Sub-On 45 min,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
15,Arsenal,H - Bayern,2017-03-07,UCL,L 1-5,Sub-Off 72 min,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0
14,Arsenal,H - Lincoln City,2017-03-11,FAC,W 5-0,Started,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0
13,Arsenal,A - West Brom,2017-03-18,Prem,L 3-1,Sub-Off 77 min,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0
5,Chile,A - Argentina,2017-03-23,WCQ,L 1-0,Started,0.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0
4,Chile,H - Venezuela,2017-03-28,WCQ,W 3-1,Started,1.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0
12,Arsenal,H - Man City,2017-04-02,Prem,D 2-2,Started,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
11,Arsenal,H - West Ham,2017-04-05,Prem,W 3-0,Started,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0
10,Arsenal,A - C Palace,2017-04-10,Prem,L 3-0,Started,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0
9,Arsenal,A - Boro,2017-04-17,Prem,W 1-2,Sub-Off 89 min,1.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0
8,Arsenal,H - Man City,2017-04-23,FAC,W 2-1,Started,1.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0
7,Arsenal,H - Leicester,2017-04-26,Prem,W 1-0,Started,0.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0
6,Arsenal,A - Tottenham,2017-04-30,Prem,L 2-0,Started,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0
5,Arsenal,H - Man Utd,2017-05-07,Prem,W 2-0,Started,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0
4,Arsenal,A - Southampton,2017-05-10,Prem,W 0-2,Started,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
3,Arsenal,A - Stoke,2017-05-13,Prem,W 1-4,Started,1.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0
2,Arsenal,H - Sunderland,2017-05-16,Prem,W 2-0,Started,2.0,0.0,9.0,2.0,3.0,2.0,0.0,0.0
1,Arsenal,H - Everton,2017-05-21,Prem,W 3-1,Sub-Off 67 min,1.0,0.0,4.0,2.0,1.0,3.0,0.0,0.0
0,Arsenal,H - Chelsea,2017-05-27,FAC,W 2-1,Started,1.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0
48,Chile,A - Russia,2017-06-09,Int,D 1-1,Sub-On 54 min,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0
47,Chile,A - Romania,2017-06-13,Int,L 3-2,Started,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0
46,Chile,A - Cameroon,2017-06-18,Conf,W 0-2,Sub-On 57 min,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0
45,Chile,A - Germany,2017-06-22,Conf,D 1-1,Started,1.0,0.0,3.0,2.0,2.0,3.0,1.0,0.0
44,Chile,H - Australia,2017-06-25,Conf,D 1-1,Started,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0
43,Chile,A - Portugal,2017-06-28,Conf,W (0) 0-(3) 0,Started,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0
42,Chile,H - Germany,2017-07-02,Conf,L 0-1,Started,0.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0
41,Arsenal,A - Liverpool,2017-08-27,Prem,L 4-0,Sub-Off 61 min,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
3,Chile,H - Paraguay,2017-08-31,WCQ,L 0-3,Started,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0
2,Chile,A - Bolivia,2017-09-05,WCQ,L 1-0,Started,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0
40,Arsenal,H - Bournemouth,2017-09-09,Prem,W 3-0,Sub-On 74 min,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
39,Arsenal,H - Cologne,2017-09-14,Europa,W 3-1,Started,1.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0
