,Team,Opponent,Date,Competition,Result,Appearance,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Fouls Suffered,Yellow Cards,Red Cards
12,Barcelona,H - Granada,2012-03-20,La Liga,W 5-3,Sub-Off 71 min,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,Barcelona,A - Mallorca,2012-03-24,La Liga,W 0-2,Sub-Off 81 min,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
10,Barcelona,A - Milan,2012-03-28,UCL,D 0-0,Sub-Off 75 min,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,Barcelona,H - Athletic,2012-03-31,La Liga,W 2-0,Sub-Off 82 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Barcelona,H - Milan,2012-04-03,UCL,W 3-1,Unused Substitute,,,,,,,,
7,Barcelona,A - R Zaragoza,2012-04-07,La Liga,W 1-4,Started,0.0,1.0,2.0,2.0,0.0,5.0,0.0,0.0
6,Barcelona,H - Getafe,2012-04-10,La Liga,W 4-0,Started,2.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0
5,Barcelona,A - Levante,2012-04-14,La Liga,W 1-2,Sub-Off 75 min,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
4,Barcelona,A - Chelsea,2012-04-18,UCL,L 1-0,Sub-Off 65 min,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
3,Barcelona,H - Real Madrid,2012-04-21,La Liga,L 1-2,Sub-On 68 min,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0
2,Barcelona,H - Chelsea,2012-04-24,UCL,L 2-2,Started,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0
1,Barcelona,A - Rayo,2012-04-29,La Liga,W 0-7,Sub-Off 79 min,1.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0
