,Team,Opponent,Date,Competition,Result,Appearance,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Fouls Suffered,Yellow Cards,Red Cards
15,Chile,H - Paraguay,2011-11-15,WCQ,W 2-0,Started,0.0,0.0,2.0,1.0,3.0,5.0,1.0,0.0
16,Chile,H - Paraguay,2011-11-15,WCQ,W 2-0,Started,0.0,0.0,2.0,1.0,3.0,5.0,1.0,0.0
17,Chile,H - Paraguay,2011-11-15,WCQ,W 2-0,Started,0.0,0.0,2.0,1.0,3.0,5.0,1.0,0.0
18,Barcelona,H - R Zaragoza,2011-11-19,La Liga,W 4-0,Sub-Off 55 min,0.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0
19,Barcelona,A - Milan,2011-11-23,UCL,W 2-3,Sub-On 67 min,0.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0
20,Barcelona,A - Getafe,2011-11-26,La Liga,L 1-0,Sub-Off 71 min,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0
21,Barcelona,H - Rayo,2011-11-29,La Liga,W 4-0,Sub-Off 70 min,2.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0
22,Barcelona,H - Levante,2011-12-03,La Liga,W 5-0,Started,1.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0
23,Barcelona,A - Real Madrid,2011-12-10,La Liga,W 1-3,Sub-Off 83 min,1.0,0.0,4.0,2.0,3.0,5.0,1.0,0.0
24,Barcelona,A - Al-Sadd,2011-12-15,CWC,W 0-4,Sub-On 37; Sub-Off 70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Barcelona,H - Osasuna,2012-01-04,Esp Cup,W 4-0,Sub-On 73 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Barcelona,A - Espanyol,2012-01-08,La Liga,D 1-1,Sub-Off 71 min,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
27,Barcelona,A - Osasuna,2012-01-12,Esp Cup,W 1-2,Sub-Off 58 min,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Barcelona,H - Betis,2012-01-15,La Liga,W 4-2,Started,1.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0
29,Barcelona,A - Real Madrid,2012-01-18,Esp Cup,W 1-2,Sub-Off 82 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Barcelona,A - Málaga,2012-01-22,La Liga,W 1-4,Sub-Off 63 min,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
31,Barcelona,H - Real Madrid,2012-01-25,Esp Cup,W 2-2,Sub-Off 79 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Barcelona,A - Villarreal,2012-01-28,La Liga,D 0-0,Sub-On 59 min,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
